HF 	Current density, mA/cm2	Etch time (s)	Resistivity	Porosity	Thickness (nm)	Sac current	Sac time
1:3	200	120	1	60.7%	11755	200	120
1:3	100	120	1	52.2%	7410	200	120
1:3	50	120	1	45.4%	3917	200	120
1:3	200	120	1	61.8%	13571	200	120
1:3	200	120	1	68.1%	12187	200	120
1:3	100	120	1	52.7%	6674	200	120
1:3	100	120	1	52.1%	6353	200	120
1:3	100	120	1	58.8%	7493	200	120
3:1	200	120	1	61.5%	10936	200	120
3:1	200	120	1	62.7%	10824	200	120
3:1	200	120	1	71.1%	11210	200	120
3:1	100	240	1	32.2%	9131	200	120
3:1	100	240	1	59.0%	13306	200	120
3:1	100	240	1	56.3%	14021	200	120
3:1	100	240	1	52.6%	16308	200	120
3:1	100	200	1	55.4%	13090	200	120
3:1	100	200	1	54.6%	14228	200	120
3:1	100	200	1	55.8%	14940	200	120
3:1	100	160	1	53.0%	9119	200	120
3:1	100	160	1	56.0%	9128	200	120
3:1	100	160	1	54.4%	8958	200	120
3:1	50	375	1	52.3%	11847	200	120
3:1	50	375	1	51.5%	11958	200	120
3:1	50	375	1	48.3%	11622	200	120
3:1	200	120	1	65.3%	13705	200	120
3:1	200	120	1	62.8%	14386	200	120
3:1	200	120	1	63.8%	13125	200	120
3:1	200	120	1	58.7%	14148	200	120
3:1	200	120	1	60.1%	13673	200	120
3:1	200	120	1	60.3%	13825	200	120
3:1	200	120	1	60.1%	13748	200	120
3:1	100	180	1	49.5%	10394	200	120
3:1	100	180	1	49.5%	10390	200	120
3:1	100	180	1	50.7%	10840	200	120
3:1	50	375	1	46.7%	12140	200	120
3:1	50	375	1	46.4%	12323	200	120
3:1	50	375	1	44.4%	11599	200	120
3:1	100	180	1	49.7%	11085	200	120
3:1	100	180	1	47.3%	10671	200	120
3:1	100	180	1	50.8%	10975	200	120
3:1	50	375	1.09	53.10%	10244	50	240
3:1	50	375	1.09	54.30%	11165	50	240
3:1	50	400	1.09	44.80%	12340	50	240
3:1	50	400	1.09	54.20%	14409	50	240
3:1	100	240	1.09	55.90%	15283	200	120
3:1	100	240	1.09	56.30%	14126	200	120
3:1	100	180	1.09	53.90%	10864	200	120
3:1	100	180	1.09	51.20%	10961	200	120
3:1	100	180	1.09	51%	10622	200	120
3:1	150	150	1.09	58.00%	12935	200	120
3:1	150	150	1.09	56.80%	12948	200	120
3:1	150	150	1.09	56.30%	12818	200	120
3:1	150	150	1.09	59.15%	11890.5	200	120
3:1	150	150	1.09	60.60%	12133	200	120
3:1	150	150	1.09	57.70%	12878	200	120
3:1	100	200	1.2	51.50%	11875	200	120
3:1	100	200	1.2	50.45%	11893	200	120
3:1	100	200	1.2	49.40%	11811	200	120
3:1	50	375	1.2	45.55%	11945	200	120
3:1	50	375	1.2	44.80%	11914	200	120
3:1	50	375	1.2	44.80%	12548	200	120
3:1	150	150	1.2	54.40%	12445.5	200	120
3:1	150	150	1.2	52.70%	12291.5	200	120
3:1	150	150	1.2	55.35%	12821.5	200	120
3:1	100	200	1.2	50.80%	12145.5	200	120
3:1	100	200	1.2	50.25%	11817.5	200	120
3:1	100	200	1.2	50.20%	11836.5	200	120
3:1	50	375	1.2	43.20%	13151	200	120
3:1	50	375	1.2	41.50%	13384.5	200	120
3:1	50	375	1.2	42.20%	13245	200	120
3:1	10	600	1	45.30%	4163	200	30
3:1	20	300	1	44.70%	3630	200	30
3:1	50	120	1	50.40%	3435	200	30
3:1	100	30	1	55.60%	1582	200	30
3:1	100	60	1	56.40%	3249	200	30
3:1	100	120	1	55%	6201	200	30
3:1	100	180	1	57.10%	9211	200	30
3:1	100	250	1	57.60%	13085	200	30
3:1	150	40	1	66.30%	3053	200	30
3:1	150	120	1	66.50%	9265	200	30
3:1	200	30	1	69.20%	2984	200	30
3:1	200	120	1	69.50%	11536	200	30
3:1	250	120	1	70.40%	13934	200	30
3:1	300	120	1	74%	17156	200	30
3:1	400	120	1	80.50%	21010	200	30
3:1	75	120	1	54%	5445	200	30
3:1	150	40	1	64.90%	2980	200	30
3:1	150	120	1	63.90%	9290	200	30
3:1	200	30	1	65.40%	2971	200	30
3:1	200	120	1	66.70%	11577	200	30
3:1	250	120	1	72.50%	13725	200	30
3:1	300	120	1	77%	16623	200	30
3:1	400	120	1	78.00%	20741	200	30
3:1	75	120	1	59%	4793	200	30
3:1	20	300	1	43.70%	4003	200	30
3:1	50	120	1	49.70%	3014	200	30
3:1	100	30	1	55.30%	1338	200	30
3:1	100	60	1	60.60%	3179	200	30
3:1	100	120	1	63%	6154	200	30
3:1	100	180	1	57.10%	9941	200	30
3:1	100	250	1	57.90%	13494	200	30
3:1	150	40	1	64.70%	3438	200	30
3:1	150	120	1	64.20%	10562	200	30
3:1	200	30	1	65.10%	3200	200	30
3:1	200	120	1	65.60%	12482	200	30
3:1	250	120	1	72.90%	16070	200	30
3:1	300	120	1	76%	18311	200	30
3:1	400	120	1	80.00%	21788	200	30
3:1	75	120	1	55%	5972	200	30
3:1	20	300	1	36.00%	3907	200	30
3:1	50	120	1	50.20%	3724	200	30
3:1	100	30	1	56.30%	1738	200	30
3:1	100	60	1	52.70%	3106	200	30
3:1	100	120	1	59%	7385	200	30
3:1	100	180	1	56.30%	10546	200	30
3:1	100	250	1	54.20%	14327	200	30
3:1	75	250	1	58.70%	10857	200	30
3:1	75	600	1	55%	24217	200	30
3:1	75	300	1	54.60%	12033	200	30
3:1	75	180	1	56.20%	8164	200	30
3:1	75	60	1	52.70%	2635	200	30
3:1	75	60	1	55.20%	2705	200	30
3:1	75	180	1	58.50%	8441	200	30
3:1	75	250	1	54.70%	11026	200	30
3:1	75	600	1	60.20%	26482	200	30
3:1	75	300	1	55.80%	13411	200	30
3:1	75	60	1	52.60%	2824	200	30
3:1	75	180	1	52.20%	7829	200	30
3:1	75	250	1	54.70%	11271	200	30
3:1	75	600	1	57.10%	24648	200	30
3:1	75	300	1	56.30%	12265	200	30
1:1	5	600	1	55.20%	1805	100	30
1:1	10	300	1	53.40%	1686	100	30
1:1	20	120	1	61.70%	1178	100	30
1:1	50	30	1	71.40%	1369	100	30
1:1	50	60	1	80.20%	1445	100	30
1:1	50	60	1	78.50%	1222	100	30
1:1	50	60	1	84.80%	1214	100	30
1:1	100	120	1	90.50%	5274	100	30
1:1	50	120	1	81.30%	2772	100	30
1:1	50	120	1	80.70%	2678	100	30
1:1	35	120	1	75%	2092	100	30
1:1	100	120	1	92.50%	5088	100	30
1:1	20	120	1	62.50%	1066	100	30
1:1	120	60	1	87.70%	2943	100	30
1:1	35	120	1	73.40%	1946	100	30
1:1	5	600	1	55.90%	1679	100	30
1:1	10	300	1	60.40%	1618	100	30
1:1	50	120	1	80.90%	2751	100	30
1:1	20	120	1	62.50%	1166	100	30
1:1	75	60	1	80.10%	2036	100	30
1:1	75	120	1	79.20%	4096	100	30
1:1	75	180	1	80%	5806	100	30
1:1	75	200	1	85%	6531	100	30
1:1	75	250	1	81.70%	8144	100	30
1:1	75	300	1	81.90%	9904	100	30
1:1	75	120	1	84.70%	4155	100	30
1:1	75	180	1	86.40%	6052	100	30
1:1	75	60	1	87.20%	2234	100	30
1:1	75	200	1	88.30%	6726	100	30
1:1	75	300	1	86.80%	9801	100	30
1:1	75	60	1	85.40%	2001	100	30
1:1	75	120	1	85.90%	4001	100	30
1:1	75	180	1	85.20%	5830	100	30
1:1	75	200	1	89%	6031	100	30
1:1	75	250	1	88.50%	7649	100	30
1:1	75	300	1	91.30%	9529	100	30
1:1	75	250	1	81.70%	8144	100	30
1:1	5	600	1	55.50%	1652	100	30
1:1	10	300	1	60.46%	1470	100	30
1:1	20	120	1	66.20%	1103	100	30
1:1	35	120	1	74%	1865	100	30
3:2:1	5	600	1	54.30%	1546	100	30
3:2:1	10	300	1	47.70%	1626	100	30
3:2:1	20	120	1	53.20%	1339	100	30
3:2:1	50	30	1	72.40%	1546	100	30
3:2:1	75	60	1	78.20%	1995	100	30
3:2:1	75	120	1	82.10%	4143	100	30
3:2:1	75	180	1	83.80%	6360	100	30
3:2:1	75	250	1	83.20%	8945	100	30
3:2:1	75	300	1	83.40%	10712	100	30
3:2:1	50	60	1	65.70%	1464	100	30
3:2:1	50	120	1	69.40%	2964	100	30
3:2:1	35	120	1	62.90%	2468	100	30
3:2:1	75	600	1	84.20%	19750	100	30
3:2:1	75	60	1	81.60%	2000	100	30
3:2:1	75	120	1	83.70%	4400	100	30
3:2:1	75	180	1	85.30%	6435	100	30
3:2:1	75	250	1	80.80%	8429	100	30
3:2:1	75	300	1	81.70%	10104	100	30
3:2:1	75	600	1	83.20%	20567	100	30
3:2:1	50	120	1	20.10%	3039	100	30
3:2:1	50	60	1	68.80%	1498	100	30
3:2:1	35	120	1	53.70%	2197	100	30
